Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**29** ^Globe^,**@emilmalta** ^Emil Malta ❄️^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/emilmalta_29.jpg),[tweet](https://twitter.com/emilmalta/status/1333132010555060224) ,,,,,
**20** ^Population^,**@owenjpowell** ^Owen Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/owenjpowell_20.jpg),[tweet](https://twitter.com/owenjpowell/status/1329738325083758592) [web](https://owenpowell.wordpress.com/30-day-map-challenge-2020/),,,,,
**21** ^Water^,**@nwbort** ^Nick Twort^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/nwbort_21.jpg),[tweet](https://twitter.com/nwbort/status/1330678583707066368) [web](https://cardioid.co.nz/30dmc/21/),Australia,Adelaide,,,"R, Leaflet"
**27** ^Big/small data^,**@tomodraco** ^Tomo 🐽^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tomodraco_27.jpg),[tweet](https://twitter.com/tomodraco/status/1332328899095695362) ,,,,,
**30** ^A map^,**@dgplacenames** ^D&G place-names^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/dgplacenames_30.jpg),[tweet](https://twitter.com/dgplacenames/status/1333312306248224768) ,,,,,
**09** ^Monochrome^,**@my_physical** ^MyPhysicalWorld^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/my_physical_09.jpg),[tweet](https://twitter.com/my_physical/status/1325832696405221378) ,,,,,"QGIS, ArcGIS"
**08** ^Yellow^,**@fbahoken** ^Françoise Bahoken^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/fbahoken_08.jpg),[tweet](https://twitter.com/fbahoken/status/1325366240370712576) ,,,,,
**13** ^Raster^,**@DrChrisGeoSci** ^Dr Chris #GIS #Success^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DrChrisGeoSci_13.jpg),[tweet](https://twitter.com/DrChrisGeoSci/status/1327272779964616706) ,Australia,,,,ArcGIS
**13** ^Raster^,**@pokateo_** ^Kate Berg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pokateo__13.jpg),[tweet](https://twitter.com/pokateo_/status/1327300952102203400) ,,,,,
**17** ^Historical^,**@JulesGrandin** ^Jules Grandin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulesGrandin_17.jpg),[tweet](https://twitter.com/JulesGrandin/status/1328616866995187712) ,,,,,
**27** ^Big/small data^,**@neocartocnrs** ^neocarto^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/neocartocnrs_27.jpg),[tweet](https://twitter.com/neocartocnrs/status/1332230396738723840) ,,,,,
**20** ^Population^,**@darenw** ^Daren Willman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darenw_20.jpg),[tweet](https://twitter.com/darenw/status/1329993408891547649) ,,,,,
**30** ^A map^,**@owenjpowell** ^Owen Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/owenjpowell_30.jpg),[tweet](https://twitter.com/owenjpowell/status/1333363933625847817) [web](https://owenpowell.wordpress.com/30-day-map-challenge-2020/),Ecuador,,,,
**02** ^Lines^,**@visualvariable** ^Travis White^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/visualvariable_02.jpg),[tweet](https://twitter.com/visualvariable/status/1323494433082540034) ,,,,,
**01** ^Points^,**@EbingerSamara** ^Samara Ebinger^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/EbingerSamara_01.jpg),[tweet](https://twitter.com/EbingerSamara/status/1322988597063127040) ,,,,,
**21** ^Water^,**@burdGIS** ^Oliver Burdekin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/burdGIS_21.jpg),[tweet](https://twitter.com/burdGIS/status/1330285310966632456) ,,,,,
**25** ^COVID-19^,**@chxmonesimo** ^onesimo × galaz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/chxmonesimo_25.jpg),[tweet](https://twitter.com/chxmonesimo/status/1331522879658233857) ,,,,,
**07** ^Green^,**@fede_gaspari** ^Federica Gaspari^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/fede_gaspari_07.jpg),[tweet](https://twitter.com/fede_gaspari/status/1325109542255030276) ,,,,,QGIS
**20** ^Population^,**@DrNicNacks** ^Nic^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DrNicNacks_20.jpg),[tweet](https://twitter.com/DrNicNacks/status/1329846702388473858) ,South Africa,,population,,
**18** ^Land use^,**@_penguin_runner** ^Kirsten Reilly^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_penguin_runner_18.jpg),[tweet](https://twitter.com/_penguin_runner/status/1329095033535008771) ,UK,,,,QGIS
**28** ^Non-geographic^,**@tonuoja** ^Tõnu Oja^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tonuoja_28.png),[tweet](https://twitter.com/tonuoja/status/1332823274099781633) ,,,,,
**25** ^COVID-19^,**@geospacedman** ^Barry Rowlingson^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geospacedman_25.png),[tweet](https://twitter.com/geospacedman/status/1331532172054966272) ,,,,,
